gene_symbol	gene_symbol_long	_identifier
1-3-1A	syringolide-induced protein 1-3-1A gene	glyma.Wm82.gnm2.ann1.Glyma.10G277800
1-3-1B	syringolide-induced protein 1-3-1B gene	glyma.Wm82.gnm2.ann1.Glyma.20G111800
13-1-1	syringolide-induced protein 13-1-1 gene	glyma.Wm82.gnm2.ann1.Glyma.18G042100
14-1-1	syringolide-induced protein 14-1-1 gene	glyma.Wm82.gnm2.ann1.Glyma.04G020700
14-3-3, GF14C, GF14g, SGF14C	14-3-3 gene	glyma.Wm82.gnm2.ann1.Glyma.05G158100
19-1-5	syringolide-induced protein 19-1-5	glyma.Wm82.gnm2.ann1.Glyma.17G065000
4CL	4-coumarate--CoA ligase-like 7-like gene	glyma.Wm82.gnm2.ann1.Glyma.02G084400
4CL	4-coumarate--CoA ligase-like 7-like gene	glyma.Wm82.gnm2.ann1.Glyma.13G323000
4CL1	4-coumarate:coenzyme A ligase gene 1	glyma.Wm82.gnm2.ann1.Glyma.17G064600
4CL2	4-coumarate:coenzyme A ligase gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G372000
4CL3	4-coumarate:coenzyme A ligase gene 3	glyma.Wm82.gnm2.ann1.Glyma.11G010500
4CL4	4-coumarate:coenzyme A ligase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G232400
A1	albumin 1 gene	glyma.Wm82.gnm2.ann1.Glyma.13G194400
AAH	allantoate amidohydrolase gene	glyma.Wm82.gnm2.ann1.Glyma.15G156900
AAH2	allantoate deiminase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.09G050800
AAT	aspartate aminotransferase glyoxysomal isozyme AAT1 precursor gene	glyma.Wm82.gnm2.ann1.Glyma.06G082400
ABA1	Abscisic acid 1 gene	glyma.Wm82.gnm2.ann1.Glyma.11G055700
ABA3	molybdenum cofactor sulfurtransferase 3	glyma.Wm82.gnm2.ann1.Glyma.09G002300
ABC18L	UPF0051 chloroplastic-like,Protein ABCI8	glyma.Wm82.gnm2.ann1.Glyma.13G163700
ABCA1-1	ABC transporter A family member 1 isoform X1	glyma.Wm82.gnm2.ann1.Glyma.03G136000
ABCA2-1	ABC transporter A family member 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G173000
ABCA2-2	ABC transporter A family member 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G191300
ABCA7-1	ABC transporter A family member 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G172900
ABCA7-2	ABC transporter A family member 7 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G191400
ABCA7-3	ABC transporter A family member 7 gene 3	glyma.Wm82.gnm2.ann1.Glyma.U001700
