Individual	Parent1	Parent2	Pedigree
02JR310007	CM4035N	Pioneer_P93B82	( 02JR310007 ( CM4035N , Pioneer_P93B82 ) )
02JR310007BC2	02JR310007	02JR310007BC1	( 02JR310007BC2 ( 02JR310007 ( CM4035N , Pioneer_P93B82 ) , 02JR310007BC1 ) )
02JR310007BC3	02JR310007	02JR310007BC2	( 02JR310007BC3 ( 02JR310007 ( CM4035N , Pioneer_P93B82 ) ( CM4035N , Pioneer_P93B82 ) , 02JR310007BC2 ( 02JR310007 ( CM4035N , Pioneer_P93B82 ) , 02JR310007BC1 ) ) )
02JR310061	CM4035N	Pioneer_P93B82	( 02JR310061 ( CM4035N , Pioneer_P93B82 ) )
02JR318004	Syngenta_S32-Z3	CM4035N	( 02JR318004 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , CM4035N ) )
02JR318004BC2	02JR318004	02JR318004BC1	( 02JR318004BC2 ( 02JR318004 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , CM4035N ) , 02JR318004BC1 ) )
02JR318004BC3	02JR318004	02JR318004BC2	( 02JR318004BC3 ( 02JR318004 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , CM4035N ) ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) , CM4035N ) , 02JR318004BC2 ( 02JR318004 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , CM4035N ) , 02JR318004BC1 ) ) )
02JR423003	Syngenta_S25-J5	Syngenta_S37-N4	( 02JR423003 ( Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S37-N4 ) )
02JR423003BC2	02JR423003	02JR423003BC1	( 02JR423003BC2 ( 02JR423003 ( Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S37-N4 ) , 02JR423003BC1 ) )
02JR423003BC3	02JR423003	02JR423003BC2	( 02JR423003BC3 ( 02JR423003 ( Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S37-N4 ) ( Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) , Syngenta_S37-N4 ) , 02JR423003BC2 ( 02JR423003 ( Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S37-N4 ) , 02JR423003BC1 ) ) )
