Individual	Parent1	Parent2	Pedigree
A-100	Capital	-	( A-100 ( Capital , - ) )
A-7	Hardome	PI_189950	( A-7 ( Hardome , PI_189950 ) )
A00-711013	AgriPro_AP1953	LN94-10470	( A00-711013 ( AgriPro_AP1953 , LN94-10470 ( Jack , Hartwig ) ) )
A00-711020	A95-485020	IA2036	( A00-711020 ( A95-485020 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711024	A95-485020	IA2036	( A00-711024 ( A95-485020 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711025	Pioneer_P9233	IA2036	( A00-711025 ( Pioneer_P9233 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711036	Pioneer_P9233	IA2036	( A00-711036 ( Pioneer_P9233 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711041	Pioneer_P9233	IA2036	( A00-711041 ( Pioneer_P9233 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711042	Pioneer_P9321	IA2036	( A00-711042 ( Pioneer_P9321 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
A00-711063	Pioneer_P9233	A95-485020	( A00-711063 ( Pioneer_P9233 , A95-485020 ) )
A00-712012	AgriPro_AP1953	IA2038	( A00-712012 ( AgriPro_AP1953 , IA2038 ) )
A00-712013	AgriPro_AP1953	Pioneer_P9321	( A00-712013 ( AgriPro_AP1953 , Pioneer_P9321 ) )
A00-712040	Northrup_King_S20-91	AgriPro_AP3355	( A00-712040 ( Northrup_King_S20-91 , AgriPro_AP3355 ) )
A00-712041	Pioneer_P9233	AgriPro_AP1953	( A00-712041 ( Pioneer_P9233 , AgriPro_AP1953 ) )
A00-812031	AgriPro_AP1953	IA3010	( A00-812031 ( AgriPro_AP1953 , IA3010 ) )
A01-409003	A97-874014	A96-492041	( A01-409003 ( A97-874014 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , A96-492041 ( Northrup_King_S24-92 , Northrup_King_S19-90 ) ) )
A01-409031	A97-874007	AgriPro_AP1995	( A01-409031 ( A97-874007 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )
A01-410009	Pioneer_P9306	IA1009	( A01-410009 ( Pioneer_P9306 , IA1009 ) )
A01-511017	A97-874014	A96-492041	( A01-511017 ( A97-874014 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , A96-492041 ( Northrup_King_S24-92 , Northrup_King_S19-90 ) ) )
A01-511020	A97-874007	AgriPro_AP1995	( A01-511020 ( A97-874007 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )
A01-512030	Pioneer_P9321	IA1009	( A01-512030 ( Pioneer_P9321 , IA1009 ) )
A01-512036	U94-2306	IA1009	( A01-512036 ( U94-2306 ( Holt ( Sherman , Harper ) , Dairyland_DSR304 ( Williams , - ) ) , IA1009 ) )
A01-512050	IA2050	IA1009	( A01-512050 ( IA2050 , IA1009 ) )
A01-611005	A97-874007	IA1009	( A01-611005 ( A97-874007 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , IA1009 ) )
A01-611037	A97-874014	A96-492058	( A01-611037 ( A97-874014 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , A96-492058 ( IA3003 , Northrup_King_S24-92 ) ) )
A01-612016	A97-874014	Pioneer_P9321	( A01-612016 ( A97-874014 ( A93-751019 ( A89-246006 , LS301 ( A79-140022 , A79-140011 ) ) , IA3006 ) , Pioneer_P9321 ) )
A01-612043	IA1008	Pioneer_P9321	( A01-612043 ( IA1008 , Pioneer_P9321 ) )
A02-136021	NE1900	Pioneer_XB28V99	( A02-136021 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-136027	NE1900	Pioneer_XB28V99	( A02-136027 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-136030	NE1900	Pioneer_XB28V99	( A02-136030 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-136031	NE1900	Pioneer_XB28V99	( A02-136031 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-236010	NE1900	Pioneer_XB28V99	( A02-236010 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-237015	NE1900	Pioneer_XB28V99	( A02-237015 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_XB28V99 ) )
A02-336040	NE1900	Dairyland_94197	( A02-336040 ( NE1900 ( MSBP1 , MSBP1 ) , Dairyland_94197 ) )
