Individual	Parent1	Parent2	Pedigree
IA1006	IA2008	Kenwood	( IA1006 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) )
IA1022	Dairyland_98822	A00-711024	( IA1022 ( Dairyland_98822 , A00-711024 ( A95-485020 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) ) )
IA1026HO	IA1026	-	( IA1026HO ( IA1026 , - ) )
IA1028HO	IA1026	-	( IA1028HO ( IA1026 , - ) )
IA2007	Pride_B152	A80-244003	( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) )
IA2008	BSR_101	A80-244003	( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) )
IA2036	Jack	A86-301024	( IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) )
IA2068	Jack	A86-301024	( IA2068 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) )
IA2076LF	IA2076_	IA1010LF	( IA2076LF ( IA2076_ , IA1010LF ) )
IA2102	A04-545045	AgriPro_AP98180-A01-0613	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) )
IA2103_	IA3027_	Soygenetics_F40412C	( IA2103_ ( IA3027_ , Soygenetics_F40412C ) )
IA2104	IA3027	Soygenetics_F40412C	( IA2104 ( IA3027 , Soygenetics_F40412C ) )
IA2104HS	IA2104	-	( IA2104HS ( IA2104 ( IA3027 , Soygenetics_F40412C ) , - ) )
IA3023	Dairyland_DSR365	Pioneer_P9381	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) )
IA3024	A97-553017	Pioneer_YB33A99	( IA3024 ( A97-553017 , Pioneer_YB33A99 ) )
IA3042	T-3211	A15025B011	( IA3042 ( T-3211 , A15025B011 ) )
IA3045	IA3027	IA2053	( IA3045 ( IA3027 , IA2053 ) )
IA3048	Dairyland_99540	IA2068	( IA3048 ( Dairyland_99540 , IA2068 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) )
IA3050	Dairyland_98820-33	IA3024	( IA3050 ( Dairyland_98820-33 , IA3024 ( A97-553017 , Pioneer_YB33A99 ) ) )
IA4005	IA3023	IA3025	( IA4005 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , IA3025 ) )
IRV_Ex4731	Amsoy	Wayne	( IRV_Ex4731 ( Amsoy , Wayne ) )
IVR_4311	Hack	Wayne	( IVR_4311 ( Hack , Wayne ) )
IVR_4731	Amsoy	Wayne	( IVR_4731 ( Amsoy , Wayne ) )
IVR_Ex4426	Amsoy	Wayne	( IVR_Ex4426 ( Amsoy , Wayne ) )
IVR_Ex4428	Corsoy	Wayne	( IVR_Ex4428 ( Corsoy , Wayne ) )
IVR_Ex4731	Amsoy	Wayne	( IVR_Ex4731 ( Amsoy , Wayne ) )
IX93	A71-555-8-1	L61-344	( IX93 ( A71-555-8-1 , L61-344 ) )
IX93-100	A71-555-8-1	L61-344	( IX93-100 ( A71-555-8-1 , L61-344 ) )
Ike	Wayne	PI_54608-1	( Ike ( Wayne , PI_54608-1 ) )
Illini	A.K.	-	( Illini ( A.K. , - ) )
Illini_sel.	Illini	-	( Illini_sel. ( Illini ( A.K. , - ) , - ) )
Ina	Jack	Hartwig	( Ina ( Jack , Hartwig ) )
Iyo	Landrace	-	( Iyo ( Landrace , - ) )
