Individual	Parent1	Parent2	Pedigree
P00048	Asgrow_A3431	Pioneer_P94B01	( P00048 ( Asgrow_A3431 , Pioneer_P94B01 ) )
P00115	ST3630	Pioneer_P9314	( P00115 ( ST3630 , Pioneer_P9314 ) )
P02-60	M82-806	HHP	( P02-60 ( M82-806 ( M71-52 ( Evans , M62-345 ( M319W ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) , Harosoy ) ) , Wells_II ) , HHP ( Glycine_Soja , Glycine_Max ) ) )
P5096-03D	Asgrow_A3127	PI_273483	( P5096-03D ( Asgrow_A3127 ( Williams , Essex ) , PI_273483 ) )
P6906-16	Asgrow_A3127	PI_273483	( P6906-16 ( Asgrow_A3127 ( Williams , Essex ) , PI_273483 ) )
P6917-29	Unpsecified	-	( P6917-29 ( Unpsecified , - ) )
P71-39	Acme	Blackhawk	( P71-39 ( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk ) )
PABU2-2	Devine	-	( PABU2-2 ( Devine , - ) )
PE3031531	Pioneer_P93B86	XB7C02	( PE3031531 ( Pioneer_P93B86 , XB7C02 ) )
PE4006780	ZB31M02	Pioneer_P93B15	( PE4006780 ( ZB31M02 ( 3171 ( L77-994 , Pioneer_P1677 ) , Pioneer_P93B65 ) , Pioneer_P93B15 ) )
PE8015767	ZB27U04	XB27P04	( PE8015767 ( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) , XB27P04 ( YB23M ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B74 ) ) )
PI_194633	193-7-27	Blackeye_Edible	( PI_194633 ( 193-7-27 , Blackeye_Edible ) )
PI_194644	Pagoda_2	201-8-29	( PI_194644 ( Pagoda_2 , 201-8-29 ) )
PI_194654	Pagoda_2	201-14-20	( PI_194654 ( Pagoda_2 , 201-14-20 ) )
PI_257436	192	614	( PI_257436 ( 192 , 614 ) )
PI_470930	840-2-7	751-8-1-15	( PI_470930 ( 840-2-7 , 751-8-1-15 ( Pagoda_2 , Fiskeby_III ) ) )
PI_495831	Amsoy	Black_Eyebrow	( PI_495831 ( Amsoy , Black_Eyebrow ) )
PI_518751	Ns-Kasna	Beeson	( PI_518751 ( Ns-Kasna , Beeson ) )
PI_556482	Hark	Wayne	( PI_556482 ( Hark , Wayne ) )
PI_556837	Beeson_80	Pioneer_P2981	( PI_556837 ( Beeson_80 ( Beeson , Arksoy ( PI_35335 , - ) ) , Pioneer_P2981 ) )
PI_556910	Pioneer_P2981	CM385	( PI_556910 ( Pioneer_P2981 , CM385 ) )
PI_584461	Pioneer_P9061	Syngenta_S15-50	( PI_584461 ( Pioneer_P9061 , Syngenta_S15-50 ) )
PI_629015	Gordon	F85-1138	( PI_629015 ( Gordon , F85-1138 ) )
PL723299L	Corsoy	Amsoy	( PL723299L ( Corsoy , Amsoy ) )
PL_6712424	Wayne	Harosoy	( PL_6712424 ( Wayne , Harosoy ) )
PL_6940104	Grant	Wayne	( PL_6940104 ( Grant , Wayne ) )
PL_707743	Amsoy	Wayne	( PL_707743 ( Amsoy , Wayne ) )
PL_72-3176L	Corsoy	Amsoy	( PL_72-3176L ( Corsoy , Amsoy ) )
PRO_30-15	Westag_97	RCAT_Calico	( PRO_30-15 ( Westag_97 ( RCAT_8703 ( FH_22-815 ( Harosoy_63 , Fiskeby_V ) , Hodgson ) , S26-06 ) , RCAT_Calico ( KG_60 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )
PRO_3170	Northrup_King_S24-92	Pioneer_P9305	( PRO_3170 ( Northrup_King_S24-92 , Pioneer_P9305 ) )
